isco_08_code;n;Proximidad física;Correo electrónico;Independencia
110;8;NA;NA;NA
210;3;NA;NA;NA
310;9;NA;NA;NA
1111;1;NA;NA;5
1112;3;3,038333333;4,93;6,168333333
1113;2;2,825;4,98;5,9175
1114;3;2,894074074;4,940740741;5,752962963
1120;2;3,0175;4,915;6,4175
1211;1;2,75;4,985;5,835
1212;3;2,586666667;4,936666667;5,333333333
1213;1;2,972222222;4,972222222;5,258888889
1219;6;2,918703704;4,90537037;5,433148148
1221;2;2,9;5;5,67
1222;2;2,66;5;5,665
1223;2;2,743333333;4,965833333;5,776666667
1311;1;3,23;3,393333333;5,223333333
1312;1;3,23;3,393333333;5,223333333
1321;1;2,913333333;4,998333333;5,238571429
1322;1;2,972222222;4,972222222;5,258888889
1323;1;3;5;5,67
1324;1;2,89;4,93;5,223333333
1330;1;2,63;5;5
1341;1;4,01;4,83;5,67
1342;1;2,8;5;6
1343;2;3,005;4,925;6
1344;1;2,66;5;5,67
1345;3;2,958333333;4,881666667;5,886666667
1346;2;2,98;4,9175;5,9175
1349;1;2,972222222;4,972222222;5,258888889
1411;1;2,97;4,92;6
1412;1;4,11;4,56;5,67
1420;1;3,21;4,85;6
1431;2;3,496111111;4,946111111;5,629444444
1439;1;2,972222222;4,972222222;5,258888889
211;1;2,59;4,82;5,33
2111;2;2,555;4,885;5,835
2112;1;2,85;5;5
2113;2;3,055;4,92;5,33
2114;2;2,575;4,92;5
2120;5;2,555333333;4,953333333;5,2
2131;10;2,791481481;4,964074074;5,074074074
2132;3;2,653333333;4,923333333;5,556666667
2133;2;2,962916667;4,884166667;4,999583333
2141;1;3,085;4,93;5,67
2142;1;2,86;4,955;5,5
2143;1;2,745;4,985;5,165
2144;4;3,02375;4,834166667;5,527083333
2145;1;2,81;5;5,33
2146;4;2,6875;4,9675;5,415
2149;5;2,904424242;4,961575758;5,407575758
2151;1;2,93;4,95;5,33
2152;2;2,8475;4,945;5,0825
2153;1;2,925;4,89;5,165
2161;1;3,11;5;6
2162;1;2,86;4,89;5,67
2163;3;2,92;4,85;5
2164;1;3,14;5;4,33
2165;2;2,9575;4,86;4,6675
2166;2;2,735;5;5,5
2211;4;4,476875;4,308541667;6,205833333
2212;5;4,4715;4,362833333;6,164666667
2221;3;4,469333333;4,561333333;4,868
2222;1;4,89;4,62;5,33
2230;1;4,6;4,483333333;5,446666667
2240;1;4,5;3,845;4,5
2250;1;4,62;3,58;6,33
2261;5;4,8775;4,245;6,4175
2262;1;3,89;4,76;4,67
2263;2;3,575;4,975;5,165
2264;2;4,85;4,36;5,5
2265;1;3,77;5;5,67
2266;2;3,92;4,645;5,165
2267;1;4,61;4,52;5,67
2269;7;4,329166667;4,598055556;5,500833333
2310;37;2,934857143;4,913714286;5,629714286
2320;3;4,076666667;4,743333333;5,22
2330;1;3,78;4,77;5
2341;2;3,985;4,86;5,33
2342;2;4,235;3,56;4,665
2351;1;3,045;5;5,665
2352;5;4,312;4,786;4,868
2353;3;4,15;4,396666667;5,446666667
2354;1;4,04;3,92;5,67
2355;2;4,135;4,305;5,67
